Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.07775377969762419, 0.3333333333333333, 0.75,  0.9734182554997421)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.07775377969762419, 0.3333333333333333, 0.75,  0.9734182554997421)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.07775377969762419, 0.3333333333333333, 0.75,  0.9734182554997421)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.07775377969762419, 0.3333333333333333, 0.75,  0.9734182554997421)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.07775377969762419, 0.3333333333333333, 0.75,  0.9734182554997421)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.07775377969762419, 0.3333333333333333, 0.75,  0.9734182554997421)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15073529411764705, 0.5, 1.0,  0.9658757422821022)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15073529411764705, 0.5, 1.0,  0.9658757422821022)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15073529411764705, 0.5, 1.0,  0.9658757422821022)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15073529411764705, 0.5, 1.0,  0.9658757422821022)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15073529411764705, 0.5, 1.0,  0.9658757422821022)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15073529411764705, 0.5, 1.0,  0.9658757422821022)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15073529411764705, 0.5, 1.0,  0.9658757422821022)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15073529411764705, 0.5, 1.0,  0.9658757422821022)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15073529411764705, 0.5, 1.0,  0.965864615344141)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.15073529411764705, 0.5, 1.0,  0.9658757422821022)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.13228789706473662, 0.8333333333333334, 0.9444444444444444,  0.9720553420242422)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.287751677852349, 0.7142857142857143, 0.9375,  0.9508491295870402)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.19488817891373802, 0.8333333333333334, 0.875,  0.9656407660371731)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.16705246913580246, 0.7142857142857143, 0.9375,  0.9716017928775684)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1714614499424626, 0.7142857142857143, 0.8333333333333334,  0.9712981436942845)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.27039337474120084, 0.7142857142857143, 0.9411764705882353,  0.9677625778609875)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2685761726857617, 0.7142857142857143, 0.9375,  0.9678342906806057)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.1763888888888889, 0.8333333333333334, 0.875,  0.9684186362563538)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.299581589958159, 0.7142857142857143, 0.9333333333333333,  0.9679636051170857)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.19580100410771337, 0.8333333333333334, 0.9375,  0.9660484408357773)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.3256093374527978, 0.7777777777777778, 0.6,  0.94970597581587)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.27566083075866804, 0.7777777777777778, 0.6,  0.9475056443334371)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.30707174733951254, 0.8888888888888888, 0.62,  0.9474233183452769)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.6772727272727272, 0.5, 0.5,  0.9654767801540178)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.061500177746178455, 0.5, 0.5,  0.976774191059595)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.061500177746178455, 0.5, 0.5,  0.976774191059595)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.7791666666666667, 0.5, 0.5,  0.9542346764077965)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.5541666666666667, 0.5, 0.5,  0.9757165830550223)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.061500177746178455, 0.5, 1.0,  0.9759519661097759)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.061500177746178455, 0.5, 0.5,  0.976774191059595)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.5541666666666667, 0.5, 0.5,  0.9757165830550223)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.061500177746178455, 0.5, 0.5,  0.9767706511150844)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.061500177746178455, 0.5, 0.5,  0.976774191059595)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.5629032258064516, 0.5, 0.5,  0.9762583125742432)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.5629032258064516, 0.5, 0.5,  0.9762583125742432)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.7056451612903226, 0.5, 0.5,  0.9598416695790907)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.8435483870967742, 0.5, 0.5,  0.9400296840827703)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.03200624512099922, 0.5, 0.5,  0.9787211418339554)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.041053446940356314, 0.5, 0.5,  0.978911580392313)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.03200624512099922, 0.5, 0.5,  0.9787211418339554)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.03200624512099922, 0.5, 0.5,  0.9787211418339554)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.03200624512099922, 0.5, 0.5,  0.9787211418339554)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.03200624512099922, 0.5, 0.5,  0.9787211418339554)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.5889520714865962, 0.5, 1.0,  0.9614681430669485)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.06102212051868802, 0.5, 1.0,  0.9673991394914253)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.06102212051868802, 0.5, 1.0,  0.9673991394914253)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.06102212051868802, 0.5, 1.0,  0.9673991394914253)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.06102212051868802, 0.5, 1.0,  0.9673991394914253)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.06102212051868802, 0.5, 1.0,  0.9673991394914253)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.5889520714865962, 0.5, 1.0,  0.9614780256658522)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.5889520714865962, 0.5, 1.0,  0.9614681430669485)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.06102212051868802, 0.5, 1.0,  0.9673991394914253)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.5889520714865962, 0.5, 1.0,  0.9614681430669485)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.5539104024297646, 0.5, 0.5,  0.9754385734320188)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.5539104024297646, 0.5, 0.5,  0.9754385734320188)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.778663629460896, 0.5, 0.5,  0.953308351528282)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.06029254370317517, 0.5, 0.5,  0.976580105374408)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.06029254370317517, 0.5, 0.5,  0.976580105374408)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.10216178521617852, 0.3333333333333333, 1.0,  0.9718707324596739)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.06029254370317517, 0.5, 0.5,  0.976580105374408)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.06029254370317517, 0.5, 0.5,  0.976580105374408)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.06029254370317517, 0.5, 0.5,  0.976580105374408)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.06029254370317517, 0.5, 0.5,  0.976580105374408)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.5229986731534719, 0.6666666666666666, 0.8260869565217391,  0.9376650775306037)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.43210968597965504, 0.8, 0.4782608695652174,  0.9292436745645865)
